,InvoiceDate,Total_Price,year,month,day,week,weekday,dayofyear
2010-12-01,2010-12-01,58635.56000000027,2010,12,1,48,2,335
2010-12-02,2010-12-02,46207.27999999991,2010,12,2,48,3,336
2010-12-03,2010-12-03,45620.459999999905,2010,12,3,48,4,337
2010-12-04,2010-12-04,0.0,2010,12,4,48,5,338
2010-12-05,2010-12-05,31383.95000000016,2010,12,5,48,6,339
2010-12-06,2010-12-06,53860.18000000002,2010,12,6,49,0,340
2010-12-07,2010-12-07,45059.05000000015,2010,12,7,49,1,341
2010-12-08,2010-12-08,44189.839999999866,2010,12,8,49,2,342
2010-12-09,2010-12-09,52532.13000000003,2010,12,9,49,3,343
2010-12-10,2010-12-10,57404.91000000018,2010,12,10,49,4,344
2010-12-11,2010-12-11,0.0,2010,12,11,49,5,345
2010-12-12,2010-12-12,17240.92000000005,2010,12,12,49,6,346
2010-12-13,2010-12-13,35379.34000000009,2010,12,13,50,0,347
2010-12-14,2010-12-14,42843.29000000021,2010,12,14,50,1,348
2010-12-15,2010-12-15,29443.690000000133,2010,12,15,50,2,349
2010-12-16,2010-12-16,48334.34999999993,2010,12,16,50,3,350
2010-12-17,2010-12-17,43534.19000000002,2010,12,17,50,4,351
2010-12-18,2010-12-18,0.0,2010,12,18,50,5,352
2010-12-19,2010-12-19,7517.309999999991,2010,12,19,50,6,353
2010-12-20,2010-12-20,24741.75000000001,2010,12,20,51,0,354
2010-12-21,2010-12-21,47097.93999999992,2010,12,21,51,1,355
2010-12-22,2010-12-22,6134.569999999999,2010,12,22,51,2,356
2010-12-23,2010-12-23,11796.310000000025,2010,12,23,51,3,357
2010-12-24,2010-12-24,0.0,2010,12,24,51,4,358
2010-12-25,2010-12-25,0.0,2010,12,25,51,5,359
2010-12-26,2010-12-26,0.0,2010,12,26,51,6,360
2010-12-27,2010-12-27,0.0,2010,12,27,52,0,361
2010-12-28,2010-12-28,0.0,2010,12,28,52,1,362
2010-12-29,2010-12-29,0.0,2010,12,29,52,2,363
2010-12-30,2010-12-30,0.0,2010,12,30,52,3,364
2010-12-31,2010-12-31,0.0,2010,12,31,52,4,365
2011-01-01,2011-01-01,0.0,2011,1,1,52,5,1
2011-01-02,2011-01-02,0.0,2011,1,2,52,6,2
2011-01-03,2011-01-03,0.0,2011,1,3,1,0,3
2011-01-04,2011-01-04,14950.480000000014,2011,1,4,1,1,4
2011-01-05,2011-01-05,-1566.2299999999466,2011,1,5,1,2,5
2011-01-06,2011-01-06,37392.73999999998,2011,1,6,1,3,6
2011-01-07,2011-01-07,27233.140000000065,2011,1,7,1,4,7
2011-01-08,2011-01-08,0.0,2011,1,8,1,5,8
2011-01-09,2011-01-09,15710.800000000025,2011,1,9,1,6,9
2011-01-10,2011-01-10,24191.64,2011,1,10,2,0,10
2011-01-11,2011-01-11,67817.1300000002,2011,1,11,2,1,11
2011-01-12,2011-01-12,23958.77999999998,2011,1,12,2,2,12
2011-01-13,2011-01-13,20533.540000000005,2011,1,13,2,3,13
2011-01-14,2011-01-14,47377.2600000001,2011,1,14,2,4,14
2011-01-15,2011-01-15,0.0,2011,1,15,2,5,15
2011-01-16,2011-01-16,7116.609999999981,2011,1,16,2,6,16
2011-01-17,2011-01-17,29256.000000000295,2011,1,17,3,0,17
2011-01-18,2011-01-18,18680.800000000007,2011,1,18,3,1,18
2011-01-19,2011-01-19,25585.810000000132,2011,1,19,3,2,19
2011-01-20,2011-01-20,17995.909999999974,2011,1,20,3,3,20
